Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Significant,Regulation,Gene Symbol,Gene Title,Display_Name
209840_s_at,3.321326325095744,8.326639574509999,-5.005313249414255,-28.952405651105806,4.660934384541979e-68,1.0027720672278994e-64,True,Downregulated,LRRN3,leucine rich repeat neuronal 3,LRRN3
207547_s_at,3.740951966829787,8.73023642099,-4.989284454160213,-35.62854412193681,5.2351870676924144e-86,2.8157977162290423e-81,True,Downregulated,FAM107A,"family with sequence similarity 107, member A",FAM107A
201539_s_at,6.1858999338723395,11.030384586339999,-4.844484652467659,-25.002976806793445,1.3685649872138467e-52,3.662170965287759e-50,True,Downregulated,FHL1,four and a half LIM domains 1,FHL1
206159_at,2.8381614036702127,7.61232146573,-4.774160062059787,-30.568901121288345,1.4172046425624077e-75,1.088939555783738e-71,True,Downregulated,GDF10,growth differentiation factor 10,GDF10
230469_at,4.92770908062766,9.69929287123,-4.77158379060234,-28.777645834620362,1.0757060142400095e-69,3.045153877995429e-66,True,Downregulated,RTKN2,rhotekin 2,RTKN2
205200_at,7.92232462125532,12.679986976800002,-4.757662355544682,-26.05513242920669,2.94645571001979e-51,6.830951155996743e-49,True,Downregulated,CLEC3B,"C-type lectin domain family 3, member B /// exosome component 7",CLEC3B
241672_at,2.3221562883936167,7.06139599235,-4.7392397039563825,-31.5566794511635,2.262638217239568e-56,1.0675285890565563e-53,True,Downregulated,SERTM1,serine-rich and transmembrane domain containing 1,SERTM1
219689_at,3.815405560702128,8.52208488662,-4.706679325917872,-25.31775351797388,5.326074531442215e-63,5.509004706695211e-60,True,Downregulated,SEMA3G,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G",SEMA3G
209904_at,5.357779434670213,10.01203972602,-4.654260291349787,-22.19094862340641,1.1904255333139254e-43,1.2678856977192631e-41,True,Downregulated,TNNC1,troponin C type 1 (slow),TNNC1
206651_s_at,5.897448273393616,10.525975203899998,-4.628526930506382,-16.02247543995802,6.805693562976397e-33,2.6699564841593616e-31,True,Downregulated,CPB2,carboxypeptidase B2 (plasma),CPB2
1555191_a_at,3.1940749499468084,7.82090468038,-4.626829730433192,-32.99121569351098,9.505070080839007e-81,1.2780992484200171e-76,True,Downregulated,FHL5,four and a half LIM domains 5,FHL5
228885_at,6.406470829500001,10.98337658974,-4.57690576024,-19.828392334415337,3.652676097361338e-38,2.4314707496618433e-36,True,Downregulated,MAMDC2,MAM domain containing 2,MAMDC2
243813_at,4.389114756787233,8.94058462192,-4.551469865132766,-27.62309172327714,1.672446203162419e-65,2.367215565349839e-62,True,Downregulated,LINC00968,long intergenic non-protein coding RNA 968,LINC00968
205384_at,3.98696509469149,8.49292802529,-4.5059629305985105,-25.568043975829152,2.2698602520340657e-51,5.331297096764378e-49,True,Downregulated,FXYD1,FXYD domain containing ion transport regulator 1,FXYD1
1552509_a_at,2.4703370906170217,6.94093799796,-4.470600907342979,-22.515826162656907,1.577661001619451e-43,1.6482511413539765e-41,True,Downregulated,CD300LG,CD300 molecule-like family member g,CD300LG
228766_at,6.623304502872339,11.080116180160001,-4.456811677287662,-23.441158225635682,1.896038633394e-49,3.5782573310782345e-47,True,Downregulated,CD36,CD36 molecule (thrombospondin receptor),CD36
211699_x_at,8.842786358659575,13.294288039200001,-4.451501680540426,-20.405164807737442,9.526782035780882e-46,1.2939583297386628e-43,True,Downregulated,HBA1,"hemoglobin, alpha 1 /// hemoglobin, alpha 2",HBA1
239650_at,4.037760744202127,8.48249323179,-4.444732487587873,-28.761212338156753,1.4133856598978685e-62,1.4077844648753105e-59,True,Downregulated,NCKAP5,NCK-associated protein 5,NCKAP5
205433_at,4.248049900585106,8.685964400040001,-4.437914499454895,-20.337268580716035,1.845174259551404e-46,2.6968625740280384e-44,True,Downregulated,BCHE,butyrylcholinesterase,BCHE
223623_at,5.235980623414894,9.646629419359998,-4.410648795945105,-19.02302184270928,2.287779242641136e-42,2.107029012751646e-40,True,Downregulated,C2orf40,chromosome 2 open reading frame 40,C2orf40
1555497_a_at,6.2504064565212785,10.64864806373,-4.398241607208722,-15.411046448246994,7.59134773760389e-30,2.293866457386308e-28,True,Downregulated,CYP4B1,"cytochrome P450, family 4, subfamily B, polypeptide 1",CYP4B1
215918_s_at,4.89280740237234,9.283924882720001,-4.391117480347661,-31.661421657481643,5.615273599116209e-68,1.16162733000794e-64,True,Downregulated,SPTBN1,"spectrin, beta, non-erythrocytic 1",SPTBN1
207302_at,2.571117699968085,6.95966329745,-4.388545597481915,-30.831208397056965,2.3000067388860247e-67,4.581783794730509e-64,True,Downregulated,SGCG,"sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)",SGCG
220037_s_at,4.630297016617021,9.01732063791,-4.387023621292979,-24.87798216816671,3.0261967211612364e-61,2.6252744652319074e-58,True,Downregulated,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,LYVE1
238222_at,6.0978619988404255,10.45503563589,-4.357173637049575,-13.936641289534785,1.0165642317311366e-25,2.1349833568094852e-24,True,Downregulated,GKN2,gastrokine 2,GKN2
1556579_s_at,4.649890165393617,8.981540258719999,-4.331650093326382,-26.10706018742339,4.150839062985288e-56,1.876109494468292e-53,True,Downregulated,IGSF10,"immunoglobulin superfamily, member 10",IGSF10
227874_at,6.002867079670212,10.329012160389999,-4.326145080719787,-22.60114759479486,2.4092642177394995e-46,3.502288789603695e-44,True,Downregulated,EMCN,endomucin,EMCN
220677_s_at,3.641903832180851,7.930457379440001,-4.28855354725915,-29.05808755251683,2.2796593929075227e-71,8.758125721923145e-68,True,Downregulated,ADAMTS8,"ADAM metallopeptidase with thrombospondin type 1 motif, 8",ADAMTS8
221796_at,2.715143630148936,6.99245800882,-4.277314378671064,-18.36465679421099,4.439632193107235e-39,3.1627822137545128e-37,True,Downregulated,NTRK2,"neurotrophic tyrosine kinase, receptor, type 2",NTRK2
224061_at,7.370131359053192,11.640870385340003,-4.270739026286811,-21.635218275196582,5.660318325399451e-43,5.606738148249261e-41,True,Downregulated,INMT,indolethylamine N-methyltransferase,INMT
205326_at,5.301803328010639,9.566237199890002,-4.264433871879364,-22.97323125784754,1.835172478397574e-54,6.409518631369605e-52,True,Downregulated,RAMP3,receptor (G protein-coupled) activity modifying protein 3,RAMP3
229309_at,6.245440078914895,10.508327263810001,-4.2628871848951055,-16.4586433950947,1.4827393740380264e-32,5.636086217103129e-31,True,Downregulated,ADRB1,adrenoceptor beta 1,ADRB1
225660_at,4.509367169170213,8.76895634675,-4.259589177579787,-27.504514165396944,3.934083302313035e-65,5.289965112455222e-62,True,Downregulated,SEMA6A,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A",SEMA6A
218711_s_at,6.756624155680851,11.01614916637,-4.25952501068915,-24.508230465075215,1.2356330070755746e-51,2.9936827440795883e-49,True,Downregulated,SDPR,serum deprivation response,SDPR
228568_at,4.930526453382979,9.170609029740001,-4.240082576357023,-27.004623970158203,3.214335091494562e-64,3.929232437071057e-61,True,Downregulated,MYZAP,myocardial zonula adherens protein,MYZAP
205019_s_at,5.909295355563831,10.10780677935,-4.198511423786169,-21.3706418443771,1.2148465364234864e-52,3.267086790403682e-50,True,Downregulated,VIPR1,vasoactive intestinal peptide receptor 1,VIPR1
236359_at,4.49562968288298,8.687112481729999,-4.191482798847019,-26.765850244628616,7.380267466365855e-63,7.489718225395358e-60,True,Downregulated,SCN4B,"sodium channel, voltage-gated, type IV, beta subunit",SCN4B
213974_at,3.40002032625532,7.580057619389999,-4.180037293134679,-32.15904432860439,5.28844175241949e-75,3.1604903121737185e-71,True,Downregulated,ADAMTSL3,ADAMTS-like 3,ADAMTSL3
238018_at,4.075065241723404,8.253412640689998,-4.178347398966594,-22.448553438115304,1.902332673604526e-48,3.2899956650319304e-46,True,Downregulated,FAM150B,"family with sequence similarity 150, member B",FAM150B
212713_at,8.412796872340424,12.569225013719999,-4.156428141379575,-20.122478896902027,1.9293425681771817e-40,1.5149141514157356e-38,True,Downregulated,MFAP4,microfibrillar-associated protein 4,MFAP4
204712_at,9.032988872478722,13.116426278800002,-4.083437406321281,-12.07430301345335,3.168213110879888e-21,4.4784628221231445e-20,True,Downregulated,WIF1,WNT inhibitory factor 1,WIF1
203065_s_at,9.347710149680852,13.407503331400001,-4.059793181719149,-24.185538564489978,1.7385486489737577e-45,2.2975326199926913e-43,True,Downregulated,CAV1,"caveolin 1, caveolae protein, 22kDa",CAV1
209793_at,2.624247439808511,6.68046522391,-4.056217784101489,-28.77724667844458,2.5877140016517908e-54,8.865145560053709e-52,True,Downregulated,GRIA1,"glutamate receptor, ionotropic, AMPA 1",GRIA1
205725_at,9.332419825861702,13.38672726705,-4.054307441188298,-8.296640369479478,5.1874745370979835e-14,3.7847735411333715e-13,True,Downregulated,SCGB1A1,"secretoglobin, family 1A, member 1 (uteroglobin)",SCGB1A1
227848_at,7.214365539521277,11.258480513000002,-4.044114973478725,-15.665212034144883,3.8403721446016355e-29,1.0837264227153386e-27,True,Downregulated,PEBP4,phosphatidylethanolamine-binding protein 4,PEBP4
229529_at,2.97304222093617,7.0074092865500015,-4.034367065613831,-27.581255123865432,3.826235783461941e-67,7.349925637474427e-64,True,Downregulated,TCF21,transcription factor 21,TCF21
205779_at,5.358437201468084,9.37410910141,-4.015671899941915,-26.058821289246787,3.191350559541586e-64,3.929232437071057e-61,True,Downregulated,RAMP2,receptor (G protein-coupled) activity modifying protein 2,RAMP2
223775_at,3.0005100864255314,7.0116236036299995,-4.011113517204468,-27.86869091110217,5.850538613253338e-69,1.3681611732714959e-65,True,Downregulated,HHIP,hedgehog interacting protein,HHIP
235568_at,7.03085081181915,11.038642642789998,-4.007791830970849,-17.934190163686154,1.527238989837094e-39,1.117606480372489e-37,True,Downregulated,MCEMP1,mast cell-expressed membrane protein 1,MCEMP1
220351_at,3.9706209815531914,7.966664375999999,-3.9960433944468075,-25.067368562746136,3.957733285472747e-52,1.00886560422956e-49,True,Downregulated,ACKR4,atypical chemokine receptor 4,ACKR4
217232_x_at,8.928735125276596,12.913430909199999,-3.984695783923403,-18.319973657874023,9.920947614317099e-40,7.3702774638627e-38,True,Downregulated,HBB,"hemoglobin, beta",HBB
206069_s_at,3.6971499083085098,7.673579473530001,-3.9764295652214914,-27.731967395365807,1.5609859805516205e-60,1.2531222679096934e-57,True,Downregulated,ACADL,"acyl-CoA dehydrogenase, long chain",ACADL
209614_at,5.543318421882978,9.51912884515,-3.9758104232670224,-21.04019388227323,3.6228844714811573e-41,3.04945953338162e-39,True,Downregulated,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",ADH1B
217177_s_at,3.6887326784042553,7.652662277840001,-3.9639295994357457,-33.029308732020056,2.363322810551515e-79,2.5422736137664757e-75,True,Downregulated,PTPRB,"protein tyrosine phosphatase, receptor type, B",PTPRB
218730_s_at,4.52191870756383,8.454216698589999,-3.932297991026169,-14.985998045979592,1.1300145114264825e-31,3.967295072557754e-30,True,Downregulated,OGN,osteoglycin,OGN
203571_s_at,8.46892887518085,12.3990466642,-3.9301177890191497,-18.808899946283994,1.9905406182843706e-36,1.104883567544305e-34,True,Downregulated,ADIRF,adipogenesis regulatory factor,ADIRF
232122_s_at,6.030724611180852,9.960484617719999,-3.929760006539147,-16.970254114511594,1.6206491802751798e-31,5.62738778633188e-30,True,Downregulated,VEPH1,ventricular zone expressed PH domain-containing 1,VEPH1
235591_at,4.180061659851064,8.102369231620001,-3.922307571768937,-20.557906774027416,2.5489383203258838e-49,4.793608269127552e-47,True,Downregulated,SSTR1,somatostatin receptor 1,SSTR1
228434_at,6.886831124819149,10.802825800610002,-3.915994675790853,-21.87469697233618,1.0866852133628972e-48,1.922646410721605e-46,True,Downregulated,BTNL9,butyrophilin-like 9,BTNL9
219719_at,4.840761816127659,8.749892893470001,-3.9091310773423418,-21.791436819578067,7.713741226812426e-43,7.543477920460602e-41,True,Downregulated,HIGD1B,"HIG1 hypoxia inducible domain family, member 1B",HIGD1B
242809_at,3.57558318474468,7.484597683889999,-3.909014499145319,-20.907789334200448,5.040834080269413e-46,7.023997457030327e-44,True,Downregulated,IL1RL1,interleukin 1 receptor-like 1,IL1RL1
222121_at,3.4596079717872334,7.336510164990002,-3.8769021932027683,-29.06481510298389,2.486809053035117e-71,8.917034115103122e-68,True,Downregulated,ARHGEF26,Rho guanine nucleotide exchange factor (GEF) 26,ARHGEF26
210619_s_at,4.792074322255319,8.66627464742,-3.874200325164681,-17.8254607128045,4.348988216037583e-34,1.9095075933697752e-32,True,Downregulated,HYAL1,hyaluronoglucosaminidase 1,HYAL1
206702_at,6.00691146651064,9.88023531608,-3.8733238495693607,-28.472777403697553,5.258209323806681e-66,9.1231627964602e-63,True,Downregulated,TEK,"TEK tyrosine kinase, endothelial",TEK
227929_at,4.447591228457447,8.320567050239998,-3.8729758217825507,-28.048408461640275,1.1269514487403847e-59,8.081894749593377e-57,True,Downregulated,LIN7A,lin-7 homolog A (C. elegans),LIN7A
209220_at,6.189482213776595,10.056999511219999,-3.8675172974434044,-20.861621084099724,4.747955261604076e-44,5.27631243183134e-42,True,Downregulated,GPC3,glypican 3,GPC3
217628_at,4.4195220510851065,8.28594875226,-3.866426701174893,-23.722435140128802,1.0208946748953165e-56,5.0842445355481015e-54,True,Downregulated,CLIC5,chloride intracellular channel 5,CLIC5
234996_at,5.970137577170215,9.81950527493,-3.849367697759785,-24.831896987064912,1.9537770791068452e-55,7.784137331617836e-53,True,Downregulated,CALCRL,calcitonin receptor-like,CALCRL
204719_at,7.116021476670213,10.957621641449999,-3.841600164779786,-16.856266519350047,2.099106222788041e-31,7.228074731042098e-30,True,Downregulated,ABCA8,"ATP-binding cassette, sub-family A (ABC1), member 8",ABCA8
226462_at,3.4674020447659584,7.3032915177,-3.8358894729340416,-24.353697477788035,9.174820536688736e-60,6.668606721437032e-57,True,Downregulated,STXBP6,syntaxin binding protein 6 (amisyn),STXBP6
205792_at,5.1756981959255315,9.009845303430001,-3.83414710750447,-17.1090764676208,1.2380657592828685e-35,6.3419623741703205e-34,True,Downregulated,WISP2,WNT1 inducible signaling pathway protein 2,WISP2
236029_at,4.077512204595744,7.871048151450001,-3.7935359468542567,-24.854963529241758,2.4818078178048027e-60,1.9630369895360164e-57,True,Downregulated,FAT3,FAT atypical cadherin 3,FAT3
229127_at,6.405349260021277,10.188371115969998,-3.7830218559487214,-24.673025444473353,1.4598203195895301e-52,3.848916456345219e-50,True,Downregulated,JAM2,junctional adhesion molecule 2,JAM2
205935_at,6.4554007028617,10.219697500239999,-3.7642967973782984,-27.278950890382117,4.734148675237418e-60,3.5863509950185884e-57,True,Downregulated,FOXF1,forkhead box F1,FOXF1
228504_at,7.5288075098723395,11.285101041219997,-3.7562935313476578,-18.432135276350134,8.12199766689324e-36,4.224852674192648e-34,True,Downregulated,SCN7A,"sodium channel, voltage-gated, type VII, alpha subunit",SCN7A
230720_at,3.5607647463829792,7.316399686880001,-3.755634940497022,-22.893054279614987,2.300864612581547e-53,6.990528907545296e-51,True,Downregulated,RNF182,ring finger protein 182,RNF182
205883_at,5.419341056425531,9.172956836510002,-3.7536157800844707,-14.986837810031783,6.822766203401903e-33,2.674703374753461e-31,True,Downregulated,ZBTB16,zinc finger and BTB domain containing 16,ZBTB16
204154_at,5.1030798738829795,8.85171004387,-3.7486301699870204,-21.868462903249064,2.794214546477007e-48,4.756000746734566e-46,True,Downregulated,CDO1,cysteine dioxygenase type 1,CDO1
205960_at,4.971830728202128,8.71586030513,-3.744029576927873,-22.677184752610135,5.25467087395011e-56,2.3166207182482016e-53,True,Downregulated,PDK4,"pyruvate dehydrogenase kinase, isozyme 4",PDK4
214146_s_at,3.716484633691488,7.45841682051,-3.741932186818512,-13.815348768659232,1.0243983252206838e-29,3.0525367490481823e-28,True,Downregulated,PPBP,pro-platelet basic protein (chemokine (C-X-C motif) ligand 7),PPBP
226625_at,7.278048995744681,11.018387043649998,-3.7403380479053174,-23.034232092905825,5.045742628914289e-45,6.296759003220045e-43,True,Downregulated,TGFBR3,"transforming growth factor, beta receptor III",TGFBR3
227419_x_at,5.794103661776594,9.53293953739,-3.7388358756134057,-23.869528751945737,1.3951659232930907e-48,2.436376439942928e-46,True,Downregulated,PLAC9,placenta-specific 9,PLAC9
205608_s_at,6.148949755638298,9.88659136782,-3.7376416121817018,-18.764992164783788,3.702859290263982e-37,2.2252736288954026e-35,True,Downregulated,ANGPT1,angiopoietin 1,ANGPT1
217546_at,5.537412354691489,9.270329938889999,-3.7329175841985096,-16.186130436191114,2.95868257669048e-37,1.7880415850547659e-35,True,Downregulated,MT1M,metallothionein 1M,MT1M
210067_at,6.404869426606383,10.13650258942,-3.7316331628136163,-14.190613061974968,1.0092991256592197e-27,2.5202489680922372e-26,True,Downregulated,AQP4,aquaporin 4,AQP4
219682_s_at,5.032900089819149,8.75123727368,-3.71833718386085,-25.050794910157563,3.668842359057848e-57,1.9346309325910334e-54,True,Downregulated,TBX3,T-box 3,TBX3
1555216_a_at,3.715796535840426,7.4281385569200005,-3.7123420210795746,-26.32203565225379,1.1888529261556303e-58,7.612338510262706e-56,True,Downregulated,LOC101060604,"putative L-type amino acid transporter 1-like protein IMAA-like /// solute carrier family 7 (amino acid transporter light chain, L system), member 5 pseudogene 1 /// solute carrier family 7 (amino acid transporter light chain, L system), member 5 pseudogene 2",LOC101060604
235108_at,3.6289408188723407,7.340186661260001,-3.71124584238766,-26.374569751652366,9.74539794573145e-66,1.4596898635420014e-62,True,Downregulated,KCNK3,"potassium channel, subfamily K, member 3",KCNK3
205554_s_at,4.7961162749042545,8.49815753276,-3.702041257855746,-17.180307475072837,3.101407154412101e-40,2.389860819587525e-38,True,Downregulated,DNASE1L3,deoxyribonuclease I-like 3,DNASE1L3
224339_s_at,3.4118470016382973,7.113079760350002,-3.701232758711704,-27.131200336256423,7.893728471176568e-67,1.4640416536231135e-63,True,Downregulated,ANGPTL1,angiopoietin-like 1,ANGPTL1
1560850_at,5.352033458702128,9.04112210647,-3.689088647767872,-13.424720953173106,7.063930965489874e-28,1.7871147267631155e-26,True,Downregulated,LOC101926959,uncharacterized LOC101926959,LOC101926959
203074_at,5.8571263102234035,9.54078429095,-3.683657980726597,-15.356072117656916,4.774492247057349e-31,1.588131354361327e-29,True,Downregulated,ANXA8,annexin A8 /// annexin A8-like 1,ANXA8
205978_at,4.467123783521277,8.13545422569,-3.668330442168722,-24.097134372064357,3.4838253155404424e-53,1.0239400460199903e-50,True,Downregulated,KL,klotho,KL
205472_s_at,3.470765302872342,7.13486743035,-3.664102127477658,-26.39444315626896,9.209785069775128e-66,1.4596898635420014e-62,True,Downregulated,DACH1,dachshund family transcription factor 1,DACH1
235849_at,4.9660969618404245,8.62594474863,-3.659847786789575,-20.448036932407703,4.91329545782218e-50,9.934831184000894e-48,True,Downregulated,SCARA5,"scavenger receptor class A, member 5 (putative)",SCARA5
219478_at,5.7572332718617005,9.41183934283,-3.654606070968299,-17.704408301197958,2.174045905335256e-36,1.2011824823310198e-34,True,Downregulated,WFDC1,WAP four-disulfide core domain 1,WFDC1
238906_s_at,3.4954040936595736,7.147654792039999,-3.6522506983804255,-24.429966150753668,4.123665040179724e-60,3.1685063978729515e-57,True,Downregulated,RHOJ,ras homolog family member J,RHOJ
202222_s_at,4.2805921858617015,7.92212485494,-3.6415326690782983,-19.08920168624638,3.498612453811065e-41,2.9528843221925875e-39,True,Downregulated,DES,desmin,DES
1552667_a_at,4.216728279819149,7.85447252243,-3.637744242610851,-28.376108982287445,1.3233639235125785e-70,4.186967764120444e-67,True,Downregulated,SH2D3C,SH2 domain containing 3C,SH2D3C
226950_at,6.367879190351065,10.000716270269999,-3.632837079918934,-26.143268352346766,2.2864528951544212e-57,1.2422136910987444e-54,True,Downregulated,ACVRL1,activin A receptor type II-like 1,ACVRL1
223678_s_at,11.565628861340427,15.196169306699998,-3.6305404453595713,-11.139677795860454,5.008851435419589e-19,5.849024822090274e-18,True,Downregulated,SFTPA1,surfactant protein A1 /// surfactant protein A2,SFTPA1
211726_s_at,8.32412544168085,11.952006172360003,-3.627880730679152,-20.599411096075,5.917463509460545e-44,6.495442700404997e-42,True,Downregulated,FMO2,flavin containing monooxygenase 2 (non-functional),FMO2
213715_s_at,4.689655998021276,8.315353144010002,-3.6256971459887257,-27.39666757276618,9.289507747253434e-66,1.4596898635420014e-62,True,Downregulated,KANK3,KN motif and ankyrin repeat domains 3,KANK3
209763_at,7.879356428712764,11.503669663230001,-3.6243132345172366,-17.8196933358171,3.291277218757341e-34,1.460599310957775e-32,True,Downregulated,CHRDL1,chordin-like 1,CHRDL1
244455_at,4.543993286159575,8.154634540080002,-3.610641253920427,-22.978460850757756,1.1281029526855254e-48,1.9893818168243825e-46,True,Downregulated,KCNT2,"potassium channel, subfamily T, member 2",KCNT2
206311_s_at,5.422971765989361,9.0080519255,-3.585080159510639,-15.816765293566718,6.171919292610055e-32,2.2204872981426384e-30,True,Downregulated,PLA2G1B,"phospholipase A2, group IB (pancreas)",PLA2G1B
205856_at,4.044722291042553,7.624948486250002,-3.580226195207449,-17.48987918761908,2.3092269944021555e-41,1.968368987653159e-39,True,Downregulated,SLC14A1,"solute carrier family 14 (urea transporter), member 1 (Kidd blood group)",SLC14A1
219597_s_at,6.226896892212766,9.806725772650001,-3.579828880437235,-16.662429292694235,1.579126683685803e-32,5.993994905344009e-31,True,Downregulated,DUOX1,dual oxidase 1,DUOX1
1555801_s_at,6.094963107787234,9.67382441505,-3.5788613072627653,-13.741843666043007,3.9715492641047664e-25,7.870808722149556e-24,True,Downregulated,ZNF385B,zinc finger protein 385B,ZNF385B
202524_s_at,7.067832357468085,10.644273274750002,-3.576440917281918,-26.45367990744654,5.742231378485775e-57,2.998559775953747e-54,True,Downregulated,SPOCK2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2",SPOCK2
203296_s_at,3.9364843646382965,7.5060458183600005,-3.569561453721704,-20.7688213755346,4.56355104531364e-46,6.446907335723208e-44,True,Downregulated,ATP1A2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",ATP1A2
204677_at,6.670400724595743,10.2377847958,-3.5673840712042564,-25.40142892380343,7.771497611748777e-55,2.902762295454998e-52,True,Downregulated,CDH5,"cadherin 5, type 2 (vascular endothelium)",CDH5
228875_at,6.505395387553191,10.06181953387,-3.556424146316809,-21.224610438789835,1.0391238767061495e-43,1.1111394996524247e-41,True,Downregulated,FAM162B,"family with sequence similarity 162, member B",FAM162B
234310_s_at,5.263197080148935,8.81792713019,-3.554730050041065,-16.417283739269262,2.8639202355025985e-32,1.0608733731869336e-30,True,Downregulated,SUSD2,sushi domain containing 2,SUSD2
205498_at,4.488857396510638,8.01680168743,-3.527944290919362,-24.35925366999766,8.635093238823985e-54,2.781120508643035e-51,True,Downregulated,GHR,growth hormone receptor,GHR
206658_at,4.893341546893616,8.39996112654,-3.506619579646383,-15.109315227203279,5.384837918473214e-32,1.9490504191318994e-30,True,Downregulated,UPK3B,uroplakin 3B,UPK3B
231991_at,4.805177491914893,8.31140126378,-3.5062237718651073,-23.68211275366056,6.043253468197024e-52,1.5118252606532331e-49,True,Downregulated,CCM2L,cerebral cavernous malformation 2-like,CCM2L
227198_at,5.4479617540000005,8.94633009236,-3.4983683383599997,-16.300655207998624,1.8771141179294664e-31,6.49276269755333e-30,True,Downregulated,AFF3,"AF4/FMR2 family, member 3",AFF3
218625_at,4.130069788829787,7.627929590880001,-3.497859802050214,-18.21721953910958,1.67057726159775e-36,9.359757145030894e-35,True,Downregulated,NRN1,neuritin 1,NRN1
203812_at,4.843320399755319,8.339482007310002,-3.496161607554683,-26.011355206379502,9.303834077502465e-55,3.4275069841955315e-52,True,Downregulated,SLIT3,slit homolog 3 (Drosophila),SLIT3
235228_at,4.913594363819148,8.405985618929998,-3.4923912551108502,-21.28075319477028,1.6209524656894766e-45,2.1527049214709678e-43,True,Downregulated,CCDC85A,coiled-coil domain containing 85A,CCDC85A
228302_x_at,3.5886935175638293,7.075984633800001,-3.4872911162361717,-19.09592838431975,4.608785805187402e-43,4.599038094950085e-41,True,Downregulated,CAMK2N1,calcium/calmodulin-dependent protein kinase II inhibitor 1,CAMK2N1
224013_s_at,2.563283258170213,6.049023513020002,-3.4857402548497887,-25.27573444538063,2.1561338284183915e-53,6.589193982688159e-51,True,Downregulated,SOX7,SRY (sex determining region Y)-box 7,SOX7
206898_at,3.220464877244681,6.70260234166,-3.4821374644153185,-27.70036229806866,5.455614975363637e-69,1.333798668476857e-65,True,Downregulated,CDH19,"cadherin 19, type 2",CDH19
223836_at,2.4119687726914893,5.882605314449998,-3.470636541758509,-21.60145581084816,4.484864088148465e-42,4.020381664085889e-40,True,Downregulated,FGFBP2,fibroblast growth factor binding protein 2,FGFBP2
203435_s_at,5.088727293170212,8.558837583089998,-3.470110289919786,-20.863139067592492,3.20792521371162e-51,7.393042222907132e-49,True,Downregulated,MME,membrane metallo-endopeptidase,MME
